time,queriespersecond_1,queriespersecond_2,queriespersecond_3,selectqueries_1,selectqueries_2,selectqueries_3,writequeries_1,writequeries_2,writequeries_3,durationqueries_1,durationqueries_2,durationqueries_3,bindpreparequeries_1,bindpreparequeries_2,bindpreparequeries_3,connectionspersecond_1,connectionspersecond_2,connectionspersecond_3,sessionspersecond_1,sessionspersecond_2,sessionspersecond_3,checkpointwritebuffers_1,checkpointfiles_1,checkpointfiles_2,checkpointfiles_3,checkpointdistance_1,checkpointdistance_2,temporarydata_1,temporaryfile_1,autovacuum_1,autovacuum_2
1354744800000,418.0,251.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,13.531,738.48,3473.245,0.0,2.0,2.0,110.0,54.0,0.0,16.0,0.0,0.0,1731.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0
1354745100000,447.0,242.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,12.264,609.281,595.737,0.0,0.0,0.0,118.0,49.0,0.0,6.0,0.0,0.0,52443.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0
1354745400000,422.0,237.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,12.36,535.342,1463.624,0.0,0.0,0.0,98.0,49.0,0.0,10.0,0.0,0.0,2295.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
1354745700000,492.0,246.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,12.511,618.186,0.0,0.0,0.0,0.0,123.0,49.0,0.0,7.0,0.0,0.0,1942.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
1354746000000,392.0,246.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,12.381,550.876,0.0,0.0,0.0,0.0,95.0,50.0,0.0,6.0,0.0,0.0,1837.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
1354746300000,478.0,233.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,12.216,670.873,546.559,0.0,0.0,0.0,119.0,47.0,0.0,8.0,0.0,0.0,2022.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
1354746600000,450.0,244.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,12.257,863.581,0.0,0.0,0.0,0.0,104.0,50.0,0.0,6.0,0.0,0.0,1969.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
1354746900000,447.0,243.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,12.223,635.367,815.631,0.0,0.0,0.0,97.0,48.0,0.0,7.0,0.0,0.0,2049.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
1354747200000,399.0,243.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,12.12,726.474,0.0,0.0,0.0,0.0,89.0,49.0,0.0,6.0,0.0,0.0,1810.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
1354747500000,409.0,236.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,12.272,634.561,392.618,0.0,0.0,0.0,95.0,50.0,0.0,8.0,0.0,0.0,2027.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
1354747800000,454.0,236.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,12.126,535.901,643.73,0.0,0.0,0.0,114.0,48.0,0.0,6.0,0.0,0.0,1970.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
1354748100000,467.0,240.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,12.198,466.536,636.205,0.0,0.0,0.0,105.0,50.0,0.0,8.0,0.0,0.0,1949.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
1354748400000,433.0,229.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,12.069,393.143,797.533,0.0,0.0,0.0,108.0,48.0,0.0,8.0,0.0,0.0,1750.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
1354748700000,381.0,217.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,12.294,449.789,442.28,0.0,0.0,0.0,92.0,46.0,0.0,6.0,0.0,0.0,1997.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0
1354749000000,342.0,218.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,12.467,517.664,0.0,0.0,0.0,0.0,93.0,47.0,0.0,6.0,0.0,0.0,1581.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
1354749300000,434.0,234.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,12.452,539.783,335.326,0.0,0.0,0.0,110.0,49.0,0.0,7.0,0.0,0.0,1591.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
1354749600000,441.0,230.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,12.23,482.96,822.24,0.0,0.0,0.0,100.0,46.0,0.0,6.0,0.0,0.0,1780.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
1354749900000,424.0,234.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,12.383,677.005,469.101,0.0,0.0,0.0,111.0,50.0,0.0,7.0,0.0,0.0,1827.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
1354750200000,411.0,241.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,12.31,604.631,0.0,0.0,0.0,0.0,97.0,52.0,0.0,6.0,0.0,0.0,1607.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
1354750500000,398.0,253.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,12.352,446.166,302.553,0.0,0.0,0.0,101.0,54.0,0.0,7.0,0.0,0.0,1809.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
1354750800000,531.0,259.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,12.509,794.849,952.152,0.0,0.0,0.0,110.0,54.0,0.0,7.0,0.0,0.0,1651.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
1354751100000,444.0,246.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,12.211,495.968,0.0,0.0,0.0,0.0,114.0,53.0,0.0,7.0,0.0,0.0,2076.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
1354751400000,461.0,248.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,12.256,625.094,0.0,0.0,0.0,0.0,102.0,53.0,0.0,8.0,0.0,0.0,2070.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
1354751700000,442.0,249.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,12.208,433.97,798.492,0.0,0.0,0.0,102.0,53.0,0.0,7.0,0.0,0.0,1592.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
